schedule,od
1246.36,DTLA_LAX
1249.09,DTLA_LAX
1251.82,DTLA_LAX
1254.55,DTLA_LAX
1257.27,DTLA_LAX
1260.0,DTLA_LAX
1263.33,DTLA_LAX
1266.67,DTLA_LAX
1270.0,DTLA_LAX
1273.33,DTLA_LAX
1276.67,DTLA_LAX
1280.0,DTLA_LAX
1283.33,DTLA_LAX
1286.67,DTLA_LAX
1290.0,DTLA_LAX
1293.33,DTLA_LAX
1296.67,DTLA_LAX
1300.0,DTLA_LAX
1303.33,DTLA_LAX
1306.67,DTLA_LAX
1310.0,DTLA_LAX
1313.33,DTLA_LAX
1316.67,DTLA_LAX
1320.0,DTLA_LAX
1324.62,DTLA_LAX
1329.23,DTLA_LAX
1333.85,DTLA_LAX
1338.46,DTLA_LAX
1343.08,DTLA_LAX
1347.69,DTLA_LAX
1352.31,DTLA_LAX
1356.92,DTLA_LAX
1361.54,DTLA_LAX
1366.15,DTLA_LAX
1370.77,DTLA_LAX
1375.38,DTLA_LAX
1380.0,DTLA_LAX
1386.0,DTLA_LAX
1392.0,DTLA_LAX
1398.0,DTLA_LAX
1404.0,DTLA_LAX
1410.0,DTLA_LAX
1416.0,DTLA_LAX
1422.0,DTLA_LAX
1428.0,DTLA_LAX
1434.0,DTLA_LAX
