origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,61800,45,,17:10:00
DTLA,LAX,61800,45,,17:10:00
DTLA,LAX,62100,75,,17:15:00
LAX,DTLA,62100,55,,17:15:00
LAX,DTLA,62400,80,,17:20:00
LAX,DTLA,62400,80,,17:20:00
LAX,DTLA,62700,65,,17:25:00
DTLA,LAX,62700,45,,17:25:00
DTLA,LAX,63000,70,,17:30:00
LAX,DTLA,63000,60,,17:30:00
DTLA,LAX,63000,70,,17:30:00
LAX,DTLA,63300,45,,17:35:00
LAX,DTLA,63600,60,,17:40:00
LAX,DTLA,63600,60,,17:40:00
DTLA,LAX,63600,50,,17:40:00
DTLA,LAX,63900,35,,17:45:00
LAX,DTLA,63900,80,,17:45:00
DTLA,LAX,64200,50,,17:50:00
DTLA,LAX,64200,50,,17:50:00
LAX,DTLA,64200,40,,17:50:00
LAX,DTLA,64500,55,,17:55:00
LAX,DTLA,64800,95,,18:00:00
DTLA,LAX,64800,30,,18:00:00
DTLA,LAX,64800,70,,18:00:00
DTLA,LAX,65100,45,,18:05:00
LAX,DTLA,65100,45,,18:05:00
LAX,DTLA,65100,45,,18:05:00
DTLA,LAX,65400,85,,18:10:00
LAX,DTLA,65400,60,,18:10:00
DTLA,LAX,65700,35,,18:15:00
DTLA,LAX,65700,35,,18:15:00
DTLA,LAX,66000,85,,18:20:00
DTLA,LAX,66300,50,,18:25:00
LAX,DTLA,66600,60,,18:30:00
DTLA,LAX,67500,55,,18:45:00
LAX,DTLA,68100,55,,18:55:00
DTLA,LAX,68100,95,,18:55:00
DTLA,LAX,68700,45,,19:05:00
LAX,DTLA,68700,85,,19:05:00
LAX,DTLA,69300,75,,19:15:00
DTLA,LAX,69300,75,,19:15:00
LAX,DTLA,72300,90,,20:05:00
DTLA,LAX,72300,90,,20:05:00
LAX,DTLA,72300,95,,20:05:00
LAX,DTLA,72600,65,,20:10:00
LAX,DTLA,72600,95,,20:10:00
LAX,DTLA,72600,95,,20:10:00
DTLA,LAX,72900,80,,20:15:00
LAX,DTLA,72900,100,,20:15:00
LAX,DTLA,73200,80,,20:20:00
LAX,DTLA,73200,100,,20:20:00
DTLA,LAX,73200,55,,20:20:00
LAX,DTLA,73500,95,,20:25:00
LAX,DTLA,73500,70,,20:25:00
DTLA,LAX,73500,90,,20:25:00
DTLA,LAX,73500,90,,20:25:00
LAX,DTLA,73800,45,,20:30:00
DTLA,LAX,73800,90,,20:30:00
DTLA,LAX,73800,90,,20:30:00
DTLA,LAX,73800,70,,20:30:00
DTLA,LAX,73800,90,,20:30:00
LAX,DTLA,74100,80,,20:35:00
LAX,DTLA,74100,80,,20:35:00
DTLA,LAX,74100,60,,20:35:00
LAX,DTLA,74400,80,,20:40:00
LAX,DTLA,74400,80,,20:40:00
LAX,DTLA,74400,80,,20:40:00
DTLA,LAX,74400,85,,20:40:00
DTLA,LAX,74700,70,,20:45:00
DTLA,LAX,74700,70,,20:45:00
LAX,DTLA,74700,60,,20:45:00
DTLA,LAX,75000,70,,20:50:00
DTLA,LAX,75000,70,,20:50:00
LAX,DTLA,75000,75,,20:50:00
LAX,DTLA,75000,50,,20:50:00
DTLA,LAX,75300,70,,20:55:00
LAX,DTLA,75300,60,,20:55:00
LAX,DTLA,75300,60,,20:55:00
LAX,DTLA,75600,60,,21:00:00
LAX,DTLA,75600,60,,21:00:00
DTLA,LAX,75600,55,,21:00:00
LAX,DTLA,75900,60,,21:05:00
DTLA,LAX,75900,60,,21:05:00
DTLA,LAX,75900,45,,21:05:00
DTLA,LAX,76200,50,,21:10:00
DTLA,LAX,76200,50,,21:10:00
DTLA,LAX,76200,50,,21:10:00
LAX,DTLA,76200,45,,21:10:00
DTLA,LAX,76200,65,,21:10:00
LAX,DTLA,76500,50,,21:15:00
DTLA,LAX,76800,35,,21:20:00
LAX,DTLA,76800,55,,21:20:00
LAX,DTLA,77100,35,,21:25:00
DTLA,LAX,77100,50,,21:25:00
DTLA,LAX,77400,75,,21:30:00
DTLA,LAX,77400,45,,21:30:00
LAX,DTLA,77400,50,,21:30:00
LAX,DTLA,77700,40,,21:35:00
LAX,DTLA,78000,35,,21:40:00
LAX,DTLA,78300,70,,21:45:00
LAX,DTLA,78600,40,,21:50:00
DTLA,LAX,78600,65,,21:50:00
DTLA,LAX,78900,60,,21:55:00
LAX,DTLA,78900,65,,21:55:00
LAX,DTLA,78900,65,,21:55:00
LAX,DTLA,79200,55,,22:00:00
DTLA,LAX,79500,55,,22:05:00
LAX,DTLA,79500,50,,22:05:00
DTLA,LAX,79500,55,,22:05:00
DTLA,LAX,79800,45,,22:10:00
LAX,DTLA,80400,35,,22:20:00
DTLA,LAX,80700,65,,22:25:00
LAX,DTLA,80700,45,,22:25:00
LAX,DTLA,80700,45,,22:25:00
DTLA,LAX,81300,50,,22:35:00
DTLA,LAX,81600,30,,22:40:00
LAX,DTLA,81900,40,,22:45:00
DTLA,LAX,82500,75,,22:55:00
LAX,DTLA,82500,75,,22:55:00
DTLA,LAX,83100,65,,23:05:00
LAX,DTLA,83100,65,,23:05:00
DTLA,LAX,83700,55,,23:15:00
DTLA,LAX,84000,85,,23:20:00
LAX,DTLA,84000,45,,23:20:00
LAX,DTLA,84300,45,,23:25:00
LAX,DTLA,84300,65,,23:25:00
DTLA,LAX,84600,35,,23:30:00
DTLA,LAX,84900,55,,23:35:00
LAX,DTLA,84900,75,,23:35:00
DTLA,LAX,85500,65,,23:45:00
LAX,DTLA,85500,45,,23:45:00
LAX,DTLA,85800,30,,23:50:00
DTLA,LAX,85800,95,,23:50:00
