origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
DTLA,LAX,36300,47.5,,10:05:00
LAX,DTLA,36300,95.0,,10:05:00
LAX,DTLA,36300,67.5,,10:05:00
DTLA,LAX,36300,47.5,,10:05:00
DTLA,LAX,36600,62.5,,10:10:00
LAX,DTLA,36600,50.0,,10:10:00
DTLA,LAX,36600,62.5,,10:10:00
DTLA,LAX,36900,85.0,,10:15:00
LAX,DTLA,36900,40.0,,10:15:00
LAX,DTLA,37200,55.0,,10:20:00
LAX,DTLA,37200,50.0,,10:20:00
DTLA,LAX,37200,40.0,,10:20:00
LAX,DTLA,37500,65.0,,10:25:00
DTLA,LAX,37500,70.0,,10:25:00
DTLA,LAX,37500,62.5,,10:25:00
LAX,DTLA,37800,32.5,,10:30:00
DTLA,LAX,37800,40.0,,10:30:00
DTLA,LAX,38100,82.5,,10:35:00
LAX,DTLA,38100,55.0,,10:35:00
DTLA,LAX,38100,45.0,,10:35:00
DTLA,LAX,38400,92.5,,10:40:00
DTLA,LAX,38700,87.5,,10:45:00
LAX,DTLA,38700,87.5,,10:45:00
DTLA,LAX,38700,70.0,,10:45:00
LAX,DTLA,38700,87.5,,10:45:00
LAX,DTLA,38700,70.0,,10:45:00
LAX,DTLA,39000,85.0,,10:50:00
LAX,DTLA,39000,47.5,,10:50:00
DTLA,LAX,39000,40.0,,10:50:00
DTLA,LAX,39000,70.0,,10:50:00
LAX,DTLA,39000,85.0,,10:50:00
LAX,DTLA,39300,50.0,,10:55:00
DTLA,LAX,39300,77.5,,10:55:00
DTLA,LAX,39300,77.5,,10:55:00
LAX,DTLA,39300,82.5,,10:55:00
LAX,DTLA,39300,80.0,,10:55:00
DTLA,LAX,39600,75.0,,11:00:00
DTLA,LAX,39600,65.0,,11:00:00
DTLA,LAX,39600,65.0,,11:00:00
LAX,DTLA,39600,62.5,,11:00:00
LAX,DTLA,39600,62.5,,11:00:00
LAX,DTLA,39600,32.5,,11:00:00
DTLA,LAX,39600,75.0,,11:00:00
LAX,DTLA,39900,70.0,,11:05:00
DTLA,LAX,39900,72.5,,11:05:00
LAX,DTLA,39900,70.0,,11:05:00
LAX,DTLA,40200,67.5,,11:10:00
LAX,DTLA,40200,67.5,,11:10:00
DTLA,LAX,40200,52.5,,11:10:00
DTLA,LAX,40200,52.5,,11:10:00
DTLA,LAX,40500,60.0,,11:15:00
LAX,DTLA,40500,65.0,,11:15:00
LAX,DTLA,40500,65.0,,11:15:00
DTLA,LAX,40500,60.0,,11:15:00
LAX,DTLA,40500,65.0,,11:15:00
DTLA,LAX,40800,57.5,,11:20:00
DTLA,LAX,40800,57.5,,11:20:00
LAX,DTLA,40800,45.0,,11:20:00
LAX,DTLA,40800,45.0,,11:20:00
DTLA,LAX,40800,82.5,,11:20:00
DTLA,LAX,41100,55.0,,11:25:00
DTLA,LAX,41100,55.0,,11:25:00
LAX,DTLA,41100,52.5,,11:25:00
LAX,DTLA,41100,52.5,,11:25:00
LAX,DTLA,41400,50.0,,11:30:00
LAX,DTLA,41400,50.0,,11:30:00
DTLA,LAX,41400,62.5,,11:30:00
DTLA,LAX,41400,62.5,,11:30:00
DTLA,LAX,41400,75.0,,11:30:00
DTLA,LAX,41400,77.5,,11:30:00
LAX,DTLA,41400,75.0,,11:30:00
LAX,DTLA,41700,47.5,,11:35:00
LAX,DTLA,41700,47.5,,11:35:00
DTLA,LAX,41700,42.5,,11:35:00
DTLA,LAX,41700,42.5,,11:35:00
DTLA,LAX,42000,47.5,,11:40:00
LAX,DTLA,42000,67.5,,11:40:00
LAX,DTLA,42000,55.0,,11:40:00
DTLA,LAX,42000,47.5,,11:40:00
DTLA,LAX,42000,65.0,,11:40:00
LAX,DTLA,42300,70.0,,11:45:00
DTLA,LAX,42300,37.5,,11:45:00
DTLA,LAX,42300,37.5,,11:45:00
DTLA,LAX,42300,40.0,,11:45:00
DTLA,LAX,42300,40.0,,11:45:00
LAX,DTLA,42300,35.0,,11:45:00
LAX,DTLA,42600,42.5,,11:50:00
DTLA,LAX,42600,45.0,,11:50:00
LAX,DTLA,42600,62.5,,11:50:00
DTLA,LAX,42900,60.0,,11:55:00
LAX,DTLA,42900,45.0,,11:55:00
DTLA,LAX,42900,60.0,,11:55:00
DTLA,LAX,43200,32.5,,12:00:00
LAX,DTLA,43200,42.5,,12:00:00
LAX,DTLA,43200,42.5,,12:00:00
LAX,DTLA,43200,45.0,,12:00:00
LAX,DTLA,43500,52.5,,12:05:00
DTLA,LAX,43500,35.0,,12:05:00
LAX,DTLA,43500,52.5,,12:05:00
LAX,DTLA,43500,52.5,,12:05:00
DTLA,LAX,43800,35.0,,12:10:00
DTLA,LAX,43800,35.0,,12:10:00
LAX,DTLA,43800,52.5,,12:10:00
DTLA,LAX,44100,42.5,,12:15:00
DTLA,LAX,44100,42.5,,12:15:00
LAX,DTLA,44100,75.0,,12:15:00
DTLA,LAX,44400,72.5,,12:20:00
DTLA,LAX,44400,50.0,,12:20:00
LAX,DTLA,44400,72.5,,12:20:00
DTLA,LAX,44700,65.0,,12:25:00
LAX,DTLA,45000,50.0,,12:30:00
DTLA,LAX,45000,67.5,,12:30:00
LAX,DTLA,45000,65.0,,12:30:00
LAX,DTLA,45300,35.0,,12:35:00
LAX,DTLA,45300,35.0,,12:35:00
DTLA,LAX,45300,67.5,,12:35:00
LAX,DTLA,45300,57.5,,12:35:00
DTLA,LAX,45600,40.0,,12:40:00
LAX,DTLA,45600,60.0,,12:40:00
LAX,DTLA,45600,60.0,,12:40:00
LAX,DTLA,45600,60.0,,12:40:00
DTLA,LAX,45900,60.0,,12:45:00
DTLA,LAX,45900,60.0,,12:45:00
DTLA,LAX,46200,32.5,,12:50:00
DTLA,LAX,46200,32.5,,12:50:00
LAX,DTLA,46200,70.0,,12:50:00
DTLA,LAX,46500,87.5,,12:55:00
LAX,DTLA,46500,52.5,,12:55:00
LAX,DTLA,46500,52.5,,12:55:00
DTLA,LAX,46500,60.0,,12:55:00
DTLA,LAX,46800,60.0,,13:00:00
DTLA,LAX,46800,60.0,,13:00:00
LAX,DTLA,46800,77.5,,13:00:00
LAX,DTLA,47100,80.0,,13:05:00
LAX,DTLA,47100,80.0,,13:05:00
LAX,DTLA,47100,57.5,,13:05:00
DTLA,LAX,47100,42.5,,13:05:00
DTLA,LAX,47100,42.5,,13:05:00
LAX,DTLA,47100,52.5,,13:05:00
DTLA,LAX,47400,67.5,,13:10:00
LAX,DTLA,47400,42.5,,13:10:00
DTLA,LAX,47400,67.5,,13:10:00
DTLA,LAX,47400,67.5,,13:10:00
LAX,DTLA,47700,60.0,,13:15:00
LAX,DTLA,47700,40.0,,13:15:00
DTLA,LAX,47700,42.5,,13:15:00
DTLA,LAX,48000,70.0,,13:20:00
DTLA,LAX,48000,70.0,,13:20:00
DTLA,LAX,48000,52.5,,13:20:00
LAX,DTLA,48000,60.0,,13:20:00
LAX,DTLA,48000,40.0,,13:20:00
LAX,DTLA,48000,60.0,,13:20:00
LAX,DTLA,48300,60.0,,13:25:00
DTLA,LAX,48300,50.0,,13:25:00
LAX,DTLA,48300,60.0,,13:25:00
LAX,DTLA,48600,45.0,,13:30:00
DTLA,LAX,48600,50.0,,13:30:00
DTLA,LAX,48600,42.5,,13:30:00
DTLA,LAX,48600,50.0,,13:30:00
LAX,DTLA,48600,45.0,,13:30:00
LAX,DTLA,48900,62.5,,13:35:00
LAX,DTLA,48900,62.5,,13:35:00
LAX,DTLA,48900,42.5,,13:35:00
DTLA,LAX,48900,50.0,,13:35:00
DTLA,LAX,48900,50.0,,13:35:00
DTLA,LAX,49200,50.0,,13:40:00
DTLA,LAX,49200,35.0,,13:40:00
DTLA,LAX,49200,35.0,,13:40:00
LAX,DTLA,49200,55.0,,13:40:00
LAX,DTLA,49500,40.0,,13:45:00
DTLA,LAX,49500,32.5,,13:45:00
DTLA,LAX,49500,52.5,,13:45:00
LAX,DTLA,49800,52.5,,13:50:00
DTLA,LAX,49800,60.0,,13:50:00
LAX,DTLA,49800,52.5,,13:50:00
DTLA,LAX,50100,30.0,,13:55:00
DTLA,LAX,50100,80.0,,13:55:00
LAX,DTLA,50100,57.5,,13:55:00
DTLA,LAX,50400,42.5,,14:00:00
DTLA,LAX,50400,50.0,,14:00:00
LAX,DTLA,50400,55.0,,14:00:00
LAX,DTLA,50400,60.0,,14:00:00
DTLA,LAX,50400,42.5,,14:00:00
LAX,DTLA,50700,72.5,,14:05:00
LAX,DTLA,50700,57.5,,14:05:00
DTLA,LAX,50700,47.5,,14:05:00
LAX,DTLA,50700,47.5,,14:05:00
DTLA,LAX,51000,45.0,,14:10:00
LAX,DTLA,51300,40.0,,14:15:00
LAX,DTLA,51300,40.0,,14:15:00
DTLA,LAX,51300,47.5,,14:15:00
LAX,DTLA,51600,57.5,,14:20:00
LAX,DTLA,51600,37.5,,14:20:00
DTLA,LAX,51600,67.5,,14:20:00
LAX,DTLA,51900,62.5,,14:25:00
LAX,DTLA,51900,40.0,,14:25:00
DTLA,LAX,51900,52.5,,14:25:00
DTLA,LAX,52200,27.5,,14:30:00
DTLA,LAX,52200,47.5,,14:30:00
LAX,DTLA,52200,60.0,,14:30:00
LAX,DTLA,52200,60.0,,14:30:00
DTLA,LAX,52500,52.5,,14:35:00
DTLA,LAX,52500,77.5,,14:35:00
LAX,DTLA,52500,45.0,,14:35:00
LAX,DTLA,52800,75.0,,14:40:00
DTLA,LAX,52800,50.0,,14:40:00
LAX,DTLA,52800,40.0,,14:40:00
LAX,DTLA,53100,30.0,,14:45:00
DTLA,LAX,53100,55.0,,14:45:00
DTLA,LAX,53100,35.0,,14:45:00
DTLA,LAX,53100,55.0,,14:45:00
LAX,DTLA,53400,92.5,,14:50:00
LAX,DTLA,53400,52.5,,14:50:00
DTLA,LAX,53400,30.0,,14:50:00
LAX,DTLA,53400,42.5,,14:50:00
DTLA,LAX,53700,65.0,,14:55:00
DTLA,LAX,53700,60.0,,14:55:00
LAX,DTLA,53700,85.0,,14:55:00
LAX,DTLA,54000,77.5,,15:00:00
LAX,DTLA,54000,40.0,,15:00:00
DTLA,LAX,54000,42.5,,15:00:00
DTLA,LAX,54300,32.5,,15:05:00
DTLA,LAX,54300,67.5,,15:05:00
LAX,DTLA,54300,57.5,,15:05:00
LAX,DTLA,54300,57.5,,15:05:00
LAX,DTLA,54600,55.0,,15:10:00
DTLA,LAX,54600,75.0,,15:10:00
DTLA,LAX,54600,52.5,,15:10:00
LAX,DTLA,54600,67.5,,15:10:00
LAX,DTLA,54900,35.0,,15:15:00
DTLA,LAX,54900,47.5,,15:15:00
DTLA,LAX,54900,47.5,,15:15:00
DTLA,LAX,54900,72.5,,15:15:00
DTLA,LAX,54900,87.5,,15:15:00
LAX,DTLA,55200,45.0,,15:20:00
DTLA,LAX,55200,45.0,,15:20:00
LAX,DTLA,55500,80.0,,15:25:00
