vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
LAX,22.5,35.0,47700,CHARGING,,13:15:00
DTLA,22.5,35.0,47700,CHARGING,,13:15:00
LAX,35.0,42.5,48300,CHARGING,,13:25:00
LAX,37.5,47.5,48300,CHARGING,,13:25:00
DTLA,22.5,32.5,48300,CHARGING,,13:25:00
DTLA,22.5,32.5,48300,CHARGING,,13:25:00
DTLA,30.0,45.0,48600,CHARGING,,13:30:00
DTLA,20.0,35.0,48900,CHARGING,,13:35:00
LAX,35.0,40.0,49200,CHARGING,,13:40:00
LAX,35.0,42.5,49500,CHARGING,,13:45:00
LAX,27.5,32.5,49500,CHARGING,,13:45:00
LAX,27.5,32.5,49500,CHARGING,,13:45:00
LAX,20.0,42.5,49800,CHARGING,,13:50:00
LAX,20.0,25.0,49800,CHARGING,,13:50:00
LAX,20.0,25.0,49800,CHARGING,,13:50:00
DTLA,35.0,42.5,49800,CHARGING,,13:50:00
LAX,20.0,37.5,50100,CHARGING,,13:55:00
LAX,32.5,35.0,50100,CHARGING,,13:55:00
LAX,25.0,45.0,50700,CHARGING,,14:05:00
LAX,25.0,45.0,50700,CHARGING,,14:05:00
DTLA,20.0,32.5,51000,CHARGING,,14:10:00
LAX,22.5,50.0,51000,CHARGING,,14:10:00
LAX,22.5,50.0,51000,CHARGING,,14:10:00
DTLA,32.5,40.0,51300,CHARGING,,14:15:00
LAX,25.0,30.0,51600,CHARGING,,14:20:00
DTLA,35.0,47.5,51600,CHARGING,,14:20:00
LAX,27.5,35.0,52200,CHARGING,,14:30:00
DTLA,32.5,37.5,52200,CHARGING,,14:30:00
DTLA,32.5,37.5,52200,CHARGING,,14:30:00
LAX,22.5,25.0,52800,CHARGING,,14:40:00
DTLA,40.0,45.0,52800,CHARGING,,14:40:00
DTLA,40.0,47.5,52800,CHARGING,,14:40:00
LAX,20.0,40.0,53100,CHARGING,,14:45:00
LAX,20.0,25.0,53100,CHARGING,,14:45:00
DTLA,30.0,42.5,53400,CHARGING,,14:50:00
LAX,25.0,45.0,53400,CHARGING,,14:50:00
LAX,22.5,25.0,54000,CHARGING,,15:00:00
DTLA,20.0,37.5,54000,CHARGING,,15:00:00
DTLA,45.0,52.5,54000,CHARGING,,15:00:00
LAX,42.5,45.0,54300,CHARGING,,15:05:00
LAX,45.0,55.0,54600,CHARGING,,15:10:00
LAX,45.0,52.5,54900,CHARGING,,15:15:00
DTLA,20.0,35.0,54900,CHARGING,,15:15:00
DTLA,20.0,42.5,55200,CHARGING,,15:20:00
LAX,22.5,37.5,55200,CHARGING,,15:20:00
DTLA,32.5,40.0,55500,CHARGING,,15:25:00
LAX,22.5,25.0,55500,CHARGING,,15:25:00
LAX,25.0,47.5,55800,CHARGING,,15:30:00
LAX,47.5,50.0,56400,CHARGING,,15:40:00
LAX,22.5,42.5,56400,CHARGING,,15:40:00
LAX,20.0,35.0,56700,CHARGING,,15:45:00
DTLA,47.5,50.0,56700,CHARGING,,15:45:00
LAX,37.5,40.0,57000,CHARGING,,15:50:00
DTLA,27.5,37.5,57000,CHARGING,,15:50:00
LAX,27.5,32.5,57300,CHARGING,,15:55:00
LAX,47.5,50.0,57300,CHARGING,,15:55:00
LAX,20.0,27.5,57600,CHARGING,,16:00:00
LAX,20.0,22.5,57900,CHARGING,,16:05:00
LAX,20.0,25.0,57900,CHARGING,,16:05:00
LAX,22.5,27.5,58200,CHARGING,,16:10:00
LAX,25.0,45.0,58200,CHARGING,,16:10:00
LAX,27.5,35.0,58200,CHARGING,,16:10:00
LAX,40.0,52.5,58200,CHARGING,,16:10:00
DTLA,30.0,52.5,58200,CHARGING,,16:10:00
DTLA,27.5,32.5,58800,CHARGING,,16:20:00
DTLA,40.0,42.5,58800,CHARGING,,16:20:00
LAX,25.0,30.0,58800,CHARGING,,16:20:00
LAX,30.0,32.5,58800,CHARGING,,16:20:00
DTLA,40.0,45.0,59100,CHARGING,,16:25:00
LAX,40.0,47.5,59100,CHARGING,,16:25:00
LAX,32.5,42.5,59100,CHARGING,,16:25:00
DTLA,27.5,32.5,59400,CHARGING,,16:30:00
DTLA,22.5,27.5,59400,CHARGING,,16:30:00
LAX,32.5,42.5,59400,CHARGING,,16:30:00
LAX,37.5,40.0,59700,CHARGING,,16:35:00
LAX,27.5,30.0,59700,CHARGING,,16:35:00
DTLA,25.0,37.5,60000,CHARGING,,16:40:00
